 SUMMARY FOR UNIT  72
 Time                      F1温度                    F2温度                    F3温度                    F4温度                    室外温度
  0.1060000000000000E+0003  0.2274970360609306E+0002  0.2362828161863225E+0002  0.2365029648769500E+0002  0.2386415791440644E+0002  0.2100000000000000E+0002
  0.1070000000000000E+0003  0.2322174565570302E+0002  0.2396376239674723E+0002  0.2397856039273782E+0002  0.2420781649443319E+0002  0.2150000000000000E+0002
  0.1080000000000000E+0003  0.2355307524976436E+0002  0.2420583936991040E+0002  0.2420925811165305E+0002  0.2446116670787511E+0002  0.2200000000000000E+0002
  0.1090000000000000E+0003  0.2393986480659670E+0002  0.2447475935024730E+0002  0.2447275173620365E+0002  0.2474196429361172E+0002  0.2250000000000000E+0002
  0.1100000000000000E+0003  0.2453654597972974E+0002  0.2513304306089939E+0002  0.2513060681307476E+0002  0.2540972536054178E+0002  0.2360000000000000E+0002
  0.1110000000000000E+0003  0.2537093877949994E+0002  0.2631256842759123E+0002  0.2631403362793102E+0002  0.2659470589549257E+0002  0.2410000000000000E+0002
  0.1120000000000000E+0003  0.2601920346208938E+0002  0.2739120857404318E+0002  0.2738845513206758E+0002  0.2767546496369600E+0002  0.2400000000000000E+0002
  0.1130000000000000E+0003  0.2608822318426807E+0002  0.2783372717287416E+0002  0.2781752402898611E+0002  0.2811781540215862E+0002  0.2380000000000000E+0002
  0.1140000000000000E+0003  0.2534619115057282E+0002  0.2705386505008089E+0002  0.2702351626325322E+0002  0.2733593860271434E+0002  0.2280000000000000E+0002
  0.1150000000000000E+0003  0.2447164995858473E+0002  0.2596753817661759E+0002  0.2593087907513797E+0002  0.2624637692878206E+0002  0.2150000000000000E+0002
  0.1160000000000000E+0003  0.2407876510174547E+0002  0.2551401231401152E+0002  0.2549515044004090E+0002  0.2578959913081194E+0002  0.2050000000000000E+0002
  0.1170000000000000E+0003  0.2380254940260605E+0002  0.2518526484039188E+0002  0.2519260659604576E+0002  0.2545849273148760E+0002  0.2000000000000000E+0002
  0.1180000000000000E+0003  0.2354954919715527E+0002  0.2493427121463928E+0002  0.2495258339133671E+0002  0.2520584180073283E+0002  0.1900000000000000E+0002
  0.1190000000000000E+0003  0.2332560478824747E+0002  0.2472563984983292E+0002  0.2474925001462186E+0002  0.2499600049235924E+0002  0.1850000000000000E+0002
  0.1200000000000000E+0003  0.2320276875714136E+0002  0.2458962454032745E+0002  0.2461797600453201E+0002  0.2485897767496700E+0002  0.1900000000000000E+0002
  0.1210000000000000E+0003  0.2308501829691093E+0002  0.2446688331433273E+0002  0.2449857589303049E+0002  0.2473531046602212E+0002  0.1900000000000000E+0002
  0.1220000000000000E+0003  0.2289277601317658E+0002  0.2430749274526802E+0002  0.2433959029415184E+0002  0.2457504907805420E+0002  0.1825000000000000E+0002
  0.1230000000000000E+0003  0.2270786959888168E+0002  0.2415504289323749E+0002  0.2418713018311527E+0002  0.2442180868342130E+0002  0.1775000000000000E+0002
  0.1240000000000000E+0003  0.2259777234226530E+0002  0.2404819576692134E+0002  0.2408212187441766E+0002  0.2431422709944497E+0002  0.1800000000000000E+0002
  0.1250000000000000E+0003  0.2248120973192341E+0002  0.2394101438404410E+0002  0.2397667452693987E+0002  0.2420633223018659E+0002  0.1780000000000000E+0002
  0.1260000000000000E+0003  0.2238843861394137E+0002  0.2385065479376743E+0002  0.2388749594364134E+0002  0.2411526399501767E+0002  0.1830000000000000E+0002
  0.1270000000000000E+0003  0.2232432949862679E+0002  0.2377909498154844E+0002  0.2381772811151543E+0002  0.2404298899008930E+0002  0.1850000000000000E+0002
  0.1280000000000000E+0003  0.2230692374488385E+0002  0.2374825401951318E+0002  0.2378712785560365E+0002  0.2401153372908069E+0002  0.1805000000000000E+0002
  0.1290000000000000E+0003  0.2269348214977798E+0002  0.2399439566817952E+0002  0.2403171670856522E+0002  0.2425835996317692E+0002  0.1905000000000000E+0002
  0.1300000000000000E+0003  0.2329144146897820E+0002  0.2439035398862724E+0002  0.2442673426024207E+0002  0.2465925155723965E+0002  0.2050000000000000E+0002
  0.1310000000000000E+0003  0.2376782939142028E+0002  0.2471977059370994E+0002  0.2474999022257908E+0002  0.2499823224133003E+0002  0.2110000000000000E+0002
  0.1320000000000000E+0003  0.2414419662058700E+0002  0.2498236012216765E+0002  0.2500442583211766E+0002  0.2527226689489759E+0002  0.2210000000000000E+0002
  0.1330000000000000E+0003  0.2475518007931256E+0002  0.2539472033858078E+0002  0.2541221346841909E+0002  0.2569518206770836E+0002  0.2350000000000000E+0002
  0.1340000000000000E+0003  0.2523525695456035E+0002  0.2594111552754962E+0002  0.2595775680126195E+0002  0.2624774043589504E+0002  0.2360000000000000E+0002
  0.1350000000000000E+0003  0.2571125569450924E+0002  0.2654271624197451E+0002  0.2655583561778641E+0002  0.2685107030970751E+0002  0.2360000000000000E+0002
  0.1360000000000000E+0003  0.2609274427020328E+0002  0.2707563274123042E+0002  0.2708380424225769E+0002  0.2738201354061431E+0002  0.2400000000000000E+0002
  0.1370000000000000E+0003  0.2587111385200231E+0002  0.2716963164900134E+0002  0.2717220387020273E+0002  0.2747226281934067E+0002  0.2300000000000000E+0002
  0.1380000000000000E+0003  0.2517179923022455E+0002  0.2647384301661790E+0002  0.2646871311839595E+0002  0.2677323383669797E+0002  0.2150000000000000E+0002
  0.1390000000000000E+0003  0.2448561194044957E+0002  0.2574543435798514E+0002  0.2574023294267556E+0002  0.2604154655055221E+0002  0.2050000000000000E+0002
