 SUMMARY FOR UNIT  76
 Time                      F1相对湿度                F2相对湿度                F3相对湿度                F4相对湿度                室外相对湿度
  0.1500000000000000E+0003  0.5610822549452413E+0002  0.5875841841376032E+0002  0.5209117491576075E+0002  0.5778113367102975E+0002  0.8350000000000000E+0002
  0.1510000000000000E+0003  0.5674218317341748E+0002  0.5925620128646049E+0002  0.5253354654710294E+0002  0.5827321694309826E+0002  0.8000000000000000E+0002
  0.1520000000000000E+0003  0.5706217683054673E+0002  0.5953675251082646E+0002  0.5278249184568746E+0002  0.5855194691281852E+0002  0.7600000000000000E+0002
  0.1530000000000000E+0003  0.5594670069144519E+0002  0.5882251598320162E+0002  0.5214262696936511E+0002  0.5785334493927984E+0002  0.7350000000000000E+0002
  0.1540000000000000E+0003  0.5382212901792942E+0002  0.5736733833893900E+0002  0.5083750046086647E+0002  0.5642256279247990E+0002  0.6600000000000000E+0002
  0.1550000000000000E+0003  0.5156983633679479E+0002  0.5575355068369853E+0002  0.4940514842817386E+0002  0.5482830157107347E+0002  0.6200000000000000E+0002
  0.1560000000000000E+0003  0.4965983593923118E+0002  0.5433191008496971E+0002  0.4815480949615007E+0002  0.5341751886478828E+0002  0.6000000000000000E+0002
  0.1570000000000000E+0003  0.4918524763414042E+0002  0.5397110383709462E+0002  0.4784343589148751E+0002  0.5304591971537751E+0002  0.5450000000000000E+0002
  0.1580000000000000E+0003  0.4821102543082541E+0002  0.5250681284667649E+0002  0.4654053218652469E+0002  0.5158764079151440E+0002  0.5450000000000000E+0002
  0.1590000000000000E+0003  0.4591571991640132E+0002  0.4908281181868768E+0002  0.4347291947877270E+0002  0.4821320289933045E+0002  0.5300000000000000E+0002
  0.1600000000000000E+0003  0.4451282757345682E+0002  0.4632478067411475E+0002  0.4101719440939184E+0002  0.4550316761196228E+0002  0.5000000000000000E+0002
  0.1610000000000000E+0003  0.4466562502346081E+0002  0.4540425462454152E+0002  0.4021829933910571E+0002  0.4460097774585913E+0002  0.5300000000000000E+0002
  0.1620000000000000E+0003  0.4698848794097918E+0002  0.4786445266023696E+0002  0.4241373570686464E+0002  0.4701833374419416E+0002  0.5600000000000000E+0002
  0.1630000000000000E+0003  0.4951636209862494E+0002  0.5109753959673349E+0002  0.4527356150306554E+0002  0.5019816631966806E+0002  0.5600000000000000E+0002
  0.1640000000000000E+0003  0.5075351612582596E+0002  0.5256137822867848E+0002  0.4649701981435938E+0002  0.5164535187443969E+0002  0.6550000000000000E+0002
  0.1650000000000000E+0003  0.5173092139727868E+0002  0.5369761813446316E+0002  0.4743425602404743E+0002  0.5276934867490515E+0002  0.6950000000000000E+0002
  0.1660000000000000E+0003  0.5227866066823469E+0002  0.5435014400010608E+0002  0.4798355067234315E+0002  0.5341734235767771E+0002  0.6200000000000000E+0002
  0.1670000000000000E+0003  0.5296856833786238E+0002  0.5503751343150609E+0002  0.4857181867075127E+0002  0.5409843240137030E+0002  0.6500000000000000E+0002
  0.1680000000000000E+0003  0.5369746993875610E+0002  0.5569048865652431E+0002  0.4914502781742887E+0002  0.5474521665140776E+0002  0.6700000000000000E+0002
  0.1690000000000000E+0003  0.5421375871526004E+0002  0.5620394658721510E+0002  0.4959047040956948E+0002  0.5525477352788578E+0002  0.6350000000000000E+0002
  0.1700000000000000E+0003  0.5497073290476690E+0002  0.5683783552613724E+0002  0.5014820744131136E+0002  0.5588222172122141E+0002  0.6700000000000000E+0002
  0.1710000000000000E+0003  0.5577097816509266E+0002  0.5749011711099846E+0002  0.5072509394681325E+0002  0.5652743555494582E+0002  0.6700000000000000E+0002
  0.1720000000000000E+0003  0.5643352004863895E+0002  0.5805580503548359E+0002  0.5122112518245826E+0002  0.5708743554264293E+0002  0.6750000000000000E+0002
