 SUMMARY FOR UNIT  62
 Time                      新风机能耗/kWh            送风机能耗/kWh            冷冻水泵能耗/kWh          冷却水泵能耗/kWh          冷水机组能耗/kWh          冷却塔能耗/kWh            系统总能耗/kWh
  0.2640000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.3599999733644444E+0003  0.4509999666305555E+0003  0.1134859590444256E+0004  0.1850000000000000E+0003  0.2130859530439256E+0004
  0.2664000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.2078999846173249E+0003  0.2132999842177750E+0003  0.2121091338613841E+0003  0.9900000000000000E+0002  0.7323091026964842E+0003
  0.2688000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.2309999829081388E+0003  0.2369999824641945E+0003  0.2738456951590892E+0003  0.1100000000000000E+0003  0.8518456605314225E+0003
  0.2712000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.7199999467288887E+0003  0.9019999332611111E+0003  0.4431915230340774E+0004  0.3700000000000000E+0003  0.6423915110330774E+0004
  0.2736000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.7199999467288887E+0003  0.9019999332611111E+0003  0.5063627554104961E+0004  0.3700000000000000E+0003  0.7055627434094962E+0004
  0.2760000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.7199999467288887E+0003  0.9019999332611111E+0003  0.5591167421984525E+0004  0.3700000000000000E+0003  0.7583167301974527E+0004
  0.2784000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.7199999467288887E+0003  0.9019999332611111E+0003  0.5611178030001679E+0004  0.3700000000000000E+0003  0.7603177909991679E+0004
  0.2808000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.7199999467288887E+0003  0.9019999332611111E+0003  0.6070781287192134E+0004  0.3700000000000000E+0003  0.8062781167182135E+0004
  0.2832000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.2309999829081388E+0003  0.2369999824641945E+0003  0.6124412312144251E+0003  0.1100000000000000E+0003  0.1190441196586758E+0004
  0.2856000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.2309999829081388E+0003  0.2369999824641945E+0003  0.5950561743435114E+0003  0.1100000000000000E+0003  0.1173056139715845E+0004
  0.2880000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.7199999467288887E+0003  0.9019999332611111E+0003  0.4644817510870689E+0004  0.3700000000000000E+0003  0.6636817390860689E+0004
  0.2904000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.9509999296370278E+0003  0.1138999915725306E+0004  0.6930252669106812E+0003  0.4800000000000000E+0003  0.3263025112273015E+0004
  0.2928000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.8558999366733250E+0003  0.1025099924152775E+0004  0.2330610805313559E+0003  0.4320000000000000E+0003  0.2546060941357456E+0004
  0.2952000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.9509999296370278E+0003  0.1138999915725306E+0004  0.9994411754975180E+0003  0.4800000000000000E+0003  0.3569441020859851E+0004
  0.2976000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.9509999296370278E+0003  0.1138999915725306E+0004  0.1949795435685337E+0004  0.4800000000000000E+0003  0.4519795281047670E+0004
  0.3000000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.9509999296370278E+0003  0.1138999915725306E+0004  0.3984734617225670E+0003  0.4800000000000000E+0003  0.2968473307084900E+0004
  0.3024000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.9509999296370278E+0003  0.1138999915725306E+0004  0.3867487562424229E+0003  0.4800000000000000E+0003  0.2956748601604756E+0004
  0.3048000000000000E+0004  0.0000000000000000E+0000  0.0000000000000000E+0000  0.9509999296370278E+0003  0.1138999915725306E+0004  0.3643038183434039E+0004  0.4800000000000000E+0003  0.6213038028796372E+0004
